Sample,Trt_day,Treatment ,D-toc,G-toc,A-toc,Total Tocopherol
1a,2,+UV-B,0.1,0.1,0.1,0.3
1b,2,+UV-B,0.2,0.1,0.3,0.6
1c,2,+UV-B,0.2,0.3,0.4,0.8
1d ,2,+UV-B,0.1,0.3,0.9,1.3
1e,2,+UV-B,0,0.3,0.2,0.5
2a,2,-UV-B,0.1,0.1,0.1,0.4
2b ,2,-UV-B,0.2,0.1,0.2,0.5
2c,2,-UV-B,0.2,0.1,0.2,0.6
2d,2,-UV-B,0,0.1,0.6,0.7
2e,2,-UV-B,0.1,0.1,0.2,0.4
3a,4,+UV-B,0.1,0.2,0.8,1.2
3b,4,+UV-B,0.2,0.1,0.3,0.5
3c,4,+UV-B,0.1,0.5,1,1.6
3d,4,+UV-B,0.2,0.4,1.4,2
3e,4,+UV-B,0.1,0.1,0.2,0.4
4a,4,-UV-B,0.1,0.1,0.2,0.3
4b,4,-UV-B,0.1,0.1,0.2,0.5
4c,4,-UV-B,0.1,0.1,0.2,0.5
4d,4,-UV-B,0.1,0.1,0.4,0.6
4e,4,-UV-B,0.1,0.1,0.1,0.3
5a,6,+UV-B,0.1,0.2,0.9,1.2
5b,6,+UV-B,0.1,0.1,0.6,0.8
5c,6,+UV-B,0.1,0.4,1.4,1.9
5d,6,+UV-B,0.2,0.1,1.5,1.8
5e,6,+UV-B,0,0.2,0.3,0.5
6a,6,-UV-B,0.1,0.1,0.3,0.5
6b,6,-UV-B,0.1,0.1,0.3,0.4
6c,6,-UV-B,0.1,0.1,0.4,0.6
6d,6,-UV-B,0.2,0.1,1,1.3
6e,6,-UV-B,0,0,0.2,0.2
7a,8,+UV-B,0.1,0.2,0.7,1
7b,8,+UV-B,0.2,0.1,0.6,0.9
7c,8,+UV-B,0.2,0.1,0.7,1
7d,8,+UV-B,0.2,0.1,2.1,2.4
7e,8,+UV-B,0,0.2,0.3,0.5
8a,8,-UV-B,0.1,0.1,0.1,0.3
8b,8,-UV-B,0.1,0,0.2,0.2
8c,8,-UV-B,0.1,0.1,0.1,0.3
8d,8,-UV-B,0.1,0,0.5,0.7
8e,8,-UV-B,0,0,0.1,0.1
9a,10,+UV-B,0.1,0.1,0.6,0.9
9b,10,+UV-B,0.1,2.3,0.4,2.8
9c,10,+UV-B,0.2,0.1,0.6,0.9
9d,10,+UV-B,0.1,0.1,1.9,2.1
9e,10,+UV-B,0,0,0.2,0.2
10a,10,-UV-B,0.1,0.1,0.2,0.4
10b,10,-UV-B,0.1,0.1,0.2,0.4
10c,10,-UV-B,0.3,0.2,1.1,1.6
10d,10,-UV-B,0.1,0,1.3,1.5
10e,10,-UV-B,0,0,0.2,0.2
