Sample,Genotype,Rep,Treatment ,Ant,Neo,Vio,Lutein,zea,Bcar ,VAZ,Total carotenoid ,DEPS,Chl A,Chl B,Total chlorophyll,Chla/b
1.2.1,WT,1,+UV-B,11.18843466,12.84155539,52.33031549,128.5145061,20.12336835,16.4776669,83.64211851,241.4758469,0.374354495,643.1331636,564.5272067,1207.66037,1.139242106
1.2.2,WT,2,+UV-B,9.836416086,13.63583307,60.30028276,139.723702,2.469458144,17.12183532,72.60615699,243.0875274,0.169488026,525.0508678,481.4429406,1006.493808,1.090577561
1.2.3,WT,3,+UV-B,10.84137526,7.568511847,33.455109,61.19771309,9.340757333,3.227507034,53.63724159,125.6309736,0.376270889,430.0897536,466.5282595,896.618013,0.921894322
1.3.1,WT,1,-UV-B,7.571910487,11.53849038,35.0699403,90.01558701,11.05065819,7.457337182,53.69250898,162.7039235,0.346837371,467.0163446,341.3214118,808.3377565,1.368259735
1.3.2,WT,2,-UV-B,10.24622147,14.00062233,45.87940689,94.22151659,5.17599901,21.58264655,61.30162737,191.1064128,0.2515793,338.3073894,326.748439,665.0558285,1.035375687
1.3.3,WT,3,-UV-B,8.813905104,7.314150284,32.59584968,70.73242168,5.665865433,0.913002202,47.07562022,126.0351944,0.307585338,379.2570607,391.3471133,770.604174,0.969106575
3.2.1,vte1-2,1,+UV-B,8.527452552,17.08734929,35.08162599,101.1770722,37.776627,17.57438098,81.38570554,217.224508,0.568946097,581.8851726,529.2552988,1111.140471,1.099441373
3.2.2,vte1-2,2,+UV-B,12.58248007,11.04131211,45.77731312,126.041937,1.6189991,8.687358703,59.97879228,205.7494001,0.23677501,472.8452826,478.8698893,951.715172,0.987419116
3.2.3,vte1-2,3,+UV-B,9.590457678,4.356219967,26.4333187,68.02147349,2.837160066,4.933925377,38.86093645,116.1725553,0.319797176,346.1620954,347.0897011,693.2517965,0.997327476
3.3.1,vte1-2,1,-UV-B,8.014787419,11.51625424,29.35021438,54.68327623,18.00205772,6.685792561,55.36705952,128.2523826,0.469897541,335.0651765,345.7652617,680.8304382,0.969053904
3.3.2,vte1-2,2,-UV-B,8.635815885,12.31770936,34.7789488,86.67825347,0,18.29930397,43.41476468,160.7100315,0.198914262,270.4475501,278.7649046,549.2124547,0.970163553
3.3.3,vte1-2,3,-UV-B,8.693116552,4.995064155,22.04119042,45.75284581,1.723453548,3.706478584,32.45776052,86.91214906,0.32092695,345.6412471,365.6688829,711.31013,0.945230134
